frame,pan,tilt
1350,78.99,7.24
1351,78.99,7.24
1352,78.99,7.24
1353,78.99,7.24
1354,78.99,7.24
1355,78.99,7.24
1356,78.99,7.24
1357,79,7.24
1358,79,7.24
1359,79,7.24
1360,79,7.24
1361,79,7.24
1362,79,7.24
1363,79,7.24
1364,79,7.24
1365,79,7.24
1366,79,7.24
1367,79,7.24
1368,79,7.24
1369,79,7.24
1370,79,7.24
1371,79,7.24
1372,79,7.24
1373,79,7.24
1374,79,7.24
1375,79,7.24
1376,79,7.24
1377,79,7.24
1378,79,7.24
1379,79,7.24
1380,79,7.24
1381,79,7.24
1382,79,7.24
1383,79,7.24
1384,79,7.24
1385,79,7.24
1386,79,7.24
